"articleid","text"
"20221003010000_tra_A0000434","survey of young careers in canada had a 10.8 % absent rate of school , and in 2014 , 56 % of the english career who attended college were interrupted by their family care . did . the same is true for korea . when her childhood , young care  russia , who lives with her divorced and uncomfortable grandmother , said that she could not concentrate on studying as the hardest thing in her school days . her grandmother suddenly went to the emergency room during her exam , he said . to overcome my situation , i only went"
"20220617081500_tra_A0001884","18 -kilometer bridge cost billions , and since 2018 he connects crimea to the russian mainland . the russian governments head of dmitry peskov said that all precautions had been taken to ensure the safety of crimea . he added that the kremlin was aware of the latest threats of  kiev  to shoot a bridge . the mother threatened to bomb kyiv if the bridge was attacked . the foreign landing of foreign affairs lavrov said that marcheks threat to the promise of ukrainian president volodimir zelenski western partners would not use weapons long range for the attack on russian territory"
"20220824173000_tra_A0000451","came . among them were small children and elderly spouses . however , the most - women with children . citizens of ukraine painted a 10 meter banner with words of gratitude in greek and english . so they thanked the inhabitants of cyprus for support and hospitality . the  ukrainians at the rally created a 10-meter banner / photo provided the channel 24 by ukrainians on august 24 , they thanked the cypriots for hospitality / photo granted 24 canaluming people said that : in fact , most of the cypriots understand them and ukraine , because they themselves or"
"20210202164500_tra_A0002838","the telecommunication service provider baltcom does not intend to abandon the  russian tv channel first baltic channel ( pbk ) , ntv mir , ren tv baltija , kinokomediya and kinomics retransmission , certified baltcom communication and public relationship specialist yekaterina ivanova . she stressed that baltcom respects the guidance of state institutions and law enforcement authorities , and at the moment"
"20220205083000_tra_A0001145","39 medals , also does not pay for medals . then , there are countries like greece and bosnia and herzegovina , which are planning to pregnant to those athletes earn medals , but will wait until the end of the event to determine the exact amounts . china and  russia , two olympic forces , are reported to have paid the discriminatory in previous matches , but it was among the delegations that did not respond to requests for comments on their plans for beijing . the 12 countries offering the larger amounts to hong kong athletes - hong kong"
"20220223081500_tra_A0002171",". on the territory of these areas , security will be guaranteed in the presence of russian troops . given the fact that increased fire-keeping activity has begun in these areas , most likely in the next few days if there is such tension and in the first death of  russian troops , the answer will be not only by the weapons of the donutska and luganese peoples republics , and from those who pacify , said international security expert . according to velkov of ukraine , it will continue to be helped , but the fact that from these areas"
"20220309233000_tra_A0000930","the renault and his pilot . the american stall became the end of the 2020 season , but now he returns to the team . the same haas announced last weekend , end of contract with title sponsor , the uralkali and competing model , nikita mazepinnel due to the  russian -ukrainian war . magnussen was between 2017 and 2020 by haass competitor and escaped with sports cars in the international sports car championship ( imsa ) in the united states . the danish pilot also signed a contract with peugeot , and in the french producers colors it would have"
"20220220193000_tra_A0000712",", the netherlands , denmark , poland where snowfalls are expected to low altitude , probably also on the floor between germany and poland and certainly on the floor and upon the sea on scandinavia and the whole baltic including the republics and the nearby russia with st. petersburg and  moscow. on monday , the front will pass quickly on the peninsula feeding a widespread more winter mold instability and the activation of a strong ventilation ."
"20221107151500_tra_A0000401","operation zone . russian president vladimir putin announced partial mobilization in the country on september 21. putin said that the former military , primarily having specialties , will be called up for mobilization . october 28 minister of defense of the russian federation sergey shoigu . since february 24 ,  russia has been conducting a special operation for denacing and demilitarization of ukraine . veteran of the wagner pmc with the call sign “ prince ” , who has been completing combat missions for more than a decade , described the principles of selection to the company . to get into"
"20200916124500_tra_A0004128","between speed and safety still always a big challenge . companies around the world are still working with unprecedented fast speeds to develop vaccines . the time for a common vaccine is a few years , the decades decade , is now less than a year . for example ,  russia approved sputnik v vaccine before completing the final stage of human testing . president trump was also urged to approve the vaccine in october , before the election . however , the vaccine manufacturers from astrazeneca to moderna are committed to not off shortcuts , and the us pharmaceutical department"
"20190928163000_tra_A0001929","players made on the ten eisi . the access to the second round ostapenko earned 65 wta single-ranking points . in the second round , ostapenko will meet with crypin caterius sinjakov ( wta 41 ) . tennis player will also take part in doubles , where her reinforcement is  ukrainian dajana jastremska.ostapenko and pliškova met the fifth time , the latvian tennis steering , winning the second victory . in the tournament , latvias first racquet anastasia sevastova also plays . themes"
"20181108201500_tra_A0001779","+ 74956456601mia \ '' rosiya segeyaa\ '' newsyoit_itsputnik italiafeedback.it @ sputniknews.com+74956456601mia \ '' rosiya segednya\ '' spu tnik italiafeedback.it @ sputniknews.com+74956456601mia \ '' rosiya segeyaa\ '' sputnik italiafeedback.it @ sputniknews.com+74956456601mia \ '' rosiya segeya\ '' politics , world , russia , usa , dmitry peskov , sanctions against russia ,  russia -used relations more questions that answers about the second wave of anti-russian sanctions recently announced by washington , and it is not clear how they can influence the prospects of the russia-us summit . the spokesman of the dmitry peskov kremlin said . \ '' we have seen that in"
"20221025104500_tra_A0001899","school has not been added yet . there are no constitutional guidelines for what education the head of state must have . the princess looks forward to learning more about the armed forces . ingrid alexandra is now last year at elvebakken high school in oslo . so she is  russian this spring ."
"20210202150000_tra_A0000632","that after leaving coma he immediately did not appear in the fsin . i demand immediate freedom , i concluded navalny . during his speech , the blogger received a comment from the court for talking about politics , clarifies . navalny arrested on january 18 after his arrival in  russia from germany , reports . in 2014 , in the case of iv roshe , the blogger received 3.5 years conditionally and probation until the end of 2020. but , according to fsin , navalny repeatedly violated the requirements of the probationary period and was not noted in the criminalist"
"20210118094500_tra_A0001257","the oppositionist aleksija afternoon . as he rated , confident leaders are not afraid of competing votes . the russian authorities must respect the rights of alexei afternoon and release him immediately . the politicization of the judiciary is unacceptable - he wrote on ... i am deeply worried about  russias decision to arrest alexei afternoon . confident political leaders are not afraid of competing votes or see the need for political opponents to use violence or unjustly stopped - wrote on twitter the head of american diplomacy . earlier , the voice in the case took adviser to the american"
"20220425090000_tra_A0002115","products in april 2022 , the price of a flat steel ( slab ) and a small steel ( billet ) increased by 27.4 % and 25.2 % from the same period of 2021 , which is rising according to the world steel situation . as a result of the  russian -ukraine conflict situation that affects fuel energy and the missing of steel products in the world market for the thai steel industry situation it was found that the consumption of steel products during january-february 2022 with 2.54 million tons of 14.3 % from the same period of 2021 , with"
"20201012164500_tra_A0000878","are younger retirement age and even found a job - refusal ? ! not only is this ridiculous principle ruptured related bonds , so he still caused obvious harm and economy , and the demographics of our country . so its just great that from today , all parents of  russian citizens , moving out from abroad , will be able to quickly and simply receive citizenship of the russian federation . and also thanks to the new law no . 209 in a simplified manner , citizenship will be able to receive children ( according to parents , guardians ,"
"20221222093000_tra_A0000614","invaders . our defenders also shot down an enemy drone of the “ outpost ” type and 2 more type “ lancet-3 ” . ukrainian missilers and gunners were struck by : 3 control points , 2 areas of concentration of enemy manpower . also , the armed forces of  ukraine powerfully hit the enemy headquarters in gorlovka . as a result , 13 enemy troops were liquidated , 4 of which were officers . and the other day the russians shot down their own bomber , who . we are talking about the ka-52 helicopter . this incident with the"
"20220107003000_tra_A0001025","participating non-opec countries . also read : the political situation in kazakhstan becomes increasingly tense . and this is a country that currently produces 1.6 million barrels of oil per day , said barbara lambrecht , energy analyst at commerzbank research on thursday ( 6/1/2022 ) in a notes .  russia sent an umbrella troops to kazakhstan to help extinguish the uprising throughout the country after deadly violence spread in the former soviet state was tightly controlled . there is no indication that oil production in kazakhstan has been affected so far . meanwhile , in libya oil production is at"
"20230112181500_tra_A0000615","thanks to the fact that its director , mela márquez , seeing the two parts of 80 minutes each of the ribbon was very happy with its quality . he commented that the work was only exhibited so far at festivals in the united states , india , venezuela ,  russia and other european countries , always with good acceptance , and the cinematheque scheduled the first part for this thursday and the second for friday . “ my idea is that the public from the latin american countries can see it , in particular the ones that have the most"
"20221013124500_tra_A0001103","october 13 , the number of applicants for rented apartments resumed almost 100 % , compared with data to large -scale shelling on october 10 and a full -scale invasion of february 24 , the press service reported . it is reported that the ios-application team for renting apartments in  kiev  bird has prepared updated statistics on the situation with demand and prices in the capital market . according to this study , the median price of renting a one -room apartment in the capital continues to grow and reached 10 thousand uah . by the end of february , it"
"20220511151500_tra_A0001699","possibility for the serbian government to take over the majority share of serbian capital in the oil industry of serbia , in the event that the pressures of western countries and comes , the acquisition would play with blessings of  moscow, is considered to take on the russian package . the action could come in a minister of mining and energy , zoran mihajlovic , declaring that serbia must defend energy stability , even by the price to change ownership in the serbian oil industry . - energy stability we must"
"20221121233000_tra_A0001095","kyiv: the united nations international atomic energy agency said that ukraine survived a disaster during a fight at the weekend at the largest nuclear energy station in europe , in which a barrage of shells used some of which fell near reactors and damaged to a radioactive waste storage building ."
"20230124154500_tra_A0000475","tass , january 24. the us administration is inclined in favor of the transfer of ukraine to  ukraine m1 abrams . as the newspaper said on tuesday with reference to american officials , the supply announcement can be made this week . according to the publication , this step will become part of an agreement with germany , which involves the allocation of a small number of leopard"
"20230707141500_tra_A0001002","photo : the russian minoborities russians suffer heavy losses in the south of  ukraine , the enemy concentrates tremendous efforts to prevent the advancement of ukrainian forces ahead in the tauride direction . ukrainian troops wedged into the defense of russian aggressors in a tauride direction over a sufficient distance so that they were forced to regroup their troops . this was said by"
"20180529073000_tra_A0004112","money live / lusa29 may , 2018 • 07 : 00 a vitória de portugal in the football world championship , in  russia , would bring an economic return of nearly 700 million euros , according to a study today published by the portuguese institute of marketing administration ( ipam ) the document , the study provides an impact on the portuguese economy of eur 678 million in the case of tournament victory"
"20220216174500_tra_A0000489","zaur abdullayev and jorge linares met face to face before the qualifying battle on february 16 , 2022 , 20:26  moscow  time owner of the titula of the silver champion wbc zaur abdullayev ( 14-1-0 , 8 ko ) and the ex-world champion in three weights ( 47-6 -0 , 29 ko ) met face to face before the qualifying match . on saturday , the boxers will determine the mandatory"
"20220422121500_tra_A0002335","raised pusca , all of the type air soft . politists continue the investigations in order to document the entire criminal activity , following the legal measures according to the consequence . also read : poland has provided ukraine weapons worth 1.5 billion euros to help her cope with the  russian invasion , the polish prime minister , mateusz morawiecki , quoted by afp .... ilincai vandici made at damians podcast on saturday . draghici rolls on the internet and still cause controversy , one month after launch . fragments from the discussion have ..."
"20211026133000_tra_A0000772","russian stock indexes vary in different direction on tuesday , playing ambiguous signals from foreign capital markets . thus , trading on asian exchanges today ended without a single dynamics , including chinese markets decreased against the background of continued problems in the real estate sector of the subway . a"
"20220314103000_tra_A0002490","( iefp ) for this purpose , assigned by the ministry of labor to the news at the minute . companies with availability to recruit ukrainian citizens can fill in . it is an initiative of the portuguese executive , launched on february 28 , to support the citizens of  ukraine that they intend for reasons of armed and humanitarian conflict , reside in portugal . according to the government , iefp will do the mapping of the competences of the ukrainian workers welcomed , places in accordance / residence and employment offerings available , and will contact candidates if an"
"20190706150000_tra_A0001230","high cost . the planes must in different lots starting from 2019. in this case , raphale also intends to participate in the contest for the supply to the indian air force of over 110 new hunting . according to local media , this offer was also presented by the  russian mig-35 , from the em / a-18 american , from the european typhoon , from the american f-16 and the swedish gripen e ."
"20220225083000_tra_A0000618","inteco company announced the completion of the construction of a monolithic frame of the above-ground floors of the premium-class residential house vrubel , 4 , which is located in the area of < U+200B > < U+200B > sokola  moscow. and 4. the device of the attached ventilated facade and the installation of translucent window structures is carried out . in all sections of the house vrubel , 4 are carried out stone work on standard floors . the laying of cable lines for the transformer substation began on the"
"20221123131500_tra_A0001809","of experiences in the provision of public services to citizens . after the meeting , the mayor emphasized that the experiences of the great cities are dragocene for belgrade . - all europe , especially the nations living in the area of < U+200B > < U+200B > ukraine and  russia , pass through an extremely difficult period . relations between peoples and countries are changing , but what is unchangeable in the last few centuries is the relationship between the serbian and russian people . we as a small country we can hardly russia in any way to help ,"
"20230221120000_tra_A0000763","thanks to the strong payment balance of  russia , you do not need to bow and borrow money abroad . this was announced in the message to the federal assembly by russian leader vladimir putin . “ russia does not need to be borrowed abroad , bow , beg money and then conduct a dialogue for a long"
"20220219101500_tra_A0000006","its sphere of influence . but he claims guarantees for the safety of russia , such as the withdrawal from eastern europe of nato military infrastructure and the assurance that ukraine will never adhere to the alliance , requests . judged inacceptable by westerners . the concerns of moscow about  ukraine must be respected , said saturday the chief of chinese diplomacy wang yi.depuis munich , british prime minister boris johnson called him to the unit western allies , while the american vice president kamala harris mentioned the threat of nato strengthening in eastern europe in the event of a russian"
"20230404130000_tra_A0001758","begun industrial assembly of the chinese brand baic ( beijing automotive group ) . the first models that have come down from the assembly line will be the baic x35 crossover and the baic u5 plus sedan . by the end of 2023 , it is planned to enter the  russian market for five more brand models , tass in the autotor . , bumpers , batteries , wheels and tires , seats , exhaust systems and other spare parts for chinese cars . since 2024 , it is planned to establish production on a complete cycle with welding and coloring"
"20220823164500_eng_A0000702","her car travelling along a highway near the village of bolshiye vyazyomy , the moscow region . russia ’ s federal security service ( fsb ) told tass on monday that dugina ’ s murder had been solved . according to the fsb , the murder was devised by the  ukrainian special service and the perpetrator was ukrainian national natalia vovk , who fled to estonia ."
"20180509161500_tra_A0000947","with anyone . then the president came . he said hello to the government and with us , with generals ... and went to the kremlin at the reception , \ '' said veteran . in addition , the major general noted that he remembered the abundance of the newest  russian military equipment in the parade . as for the incident itself with the security officers of the president of russia , dmitry petrovich did not even remember him . earlier , the fifth channel reported that after the completion of the parade of victory , but the protection of the"
"20201017173000_eng_A0000279","al kaabi , minister of culture and youth , the uaes minister of culture and youth development , received the jab on saturday - a day after sheikh abdullah bin zayed al nahyan , minister of foreign affairs and international cooperation , got it . additionally , trials for the  russian adenovirus-based vaccine called sputnik v are set to commence in the country . dr faisal hamza dalvi , specialist - internal medicine , burjeel day surgery centre , reem island , abu dhabi , said he would definitely take the vaccine . we are fortunate that the government is carrying"
"20200607094500_tra_A0002105","every person or hand , or a country dealing with him , and these sanctions are considered if they are applied , the maximum limit without direct military intervention , which can be exposed to the assad regime . the caesars law targeting the assad regime mainly , it places  russia and iran face to face us sanctions , especially since it is accompanied by a high-paced pressure campaign against iran . therefore , caesars caesars law on further suffocation and isolation from the world regime and expanding americas ability to punish actors who are involved in supporting assad regime or"
"20220321003000_eng_A0000869",". adamu : na for past financial fights wey efcc arrest am . chike : chai ! governor for morning , cell for night . adamu : bianca slap na to reset one head but na everyday buhari dey slap 200m nigerians with different corrupt actions like evacuating nigerians from  ukraine with $ 8.5bn when boeing 737-700 cost less than $ 90m . buhari slap na di dirtiest ever . na we three prisoners symbolise nigeria wey dey inside chains . copyright punch . all rights reserved . this material , and other digital content on this website , may not"
"20180423133000_tra_A0001031","mined on the shelf of the world ocean , while the sustainable tendency towards an increase in this share in the total production volume is maintained , \ '' the general director of roshyology jsc stressed roman panov , noting the relevance of the discussion . according to him ,  russia today occupies a leading position on the development of the world 's ocean resources and the development of technological solutions and \ '' it is very important to maintain these positions in the future.\ '' the st. petersburg international economic forum is held annually in st. petersburg since 1997 ,"
"20220307150000_tra_A0000311","in cologne : brings breaks off the hay market , but ukraine does not matter i tried it , but i can not anymore , singer had said on stage and then finished the performance . however , the decision did not hit the 57-year-old because of the war in  ukraine , but for another reason . he still struggles with the consequences of his disease , reports peter in conversation with express.de . the condition was not restored yet , he realizes the sport , but of course on stage . and at this carnival day in the dorint ,"
"20220926220000_tra_A0000645","we work closely with french in a wide range of global challenges , including war in  ukraine , she said , reports reuters . jean-pierre added that biden considered a macro for a close and valuable partner . follow us and via ios and android app"
"20220311083000_tra_A0001908","it is a result of only speculation on the gas market , the prime minister took place at the summit . objective the detoxification from russian gas at the heart of the 27 discussions found energy autonomy of the eu , as there are sought ways of direct reduction in  russian gas . a move that will give a new powerful blow to vladimir putin . european leaders are decisive to turn to liquefied gas market ( lng ) until the framework for the operation of renewable energy sources is created . however , a thorn is the lack of liquefied"
"20230217154500_tra_A0000489","to the mail with the link . cross it to complete the subscription procedure . president of ukraine volodymyr zelensky said that kyiv will be able to regain control over the lost territories . the ukrainian leader said this during a security conference in munich . “ can we reject  russian blows ? yes . can we protect our citizens from russian missiles ? certainly . can we free the land ? ” said vladimir zelensky . the broadcast of his speech is carried out in the deutsche welle youtube channel ( recognized by the media by the foreigner ) ."
"20220124204500_tra_A0000546","rubles , which is 38.3 % lower than in a similar period of 2020. we have invested a lot over recent years , now there is no need for such investments to develop a network and maintain quality , the companys representative explained . the subscriber base of megafon in  russia amounted to 70.5 million customers , which corresponds to the level of the first quarter of last year , if applying a new metering methodology to the indicator . in the second half of the year , the operator of the accounting system of the subscriber base , tightening the"
"20201111173000_eng_A0002512","to have a quorum.opposition leaders called on protesters outside the parliament to leave and promised to share their future plans on thursday.the ceasefire halted military action in and around nagorno-karabakh , an enclave internationally recognised as part of azerbaijan but populated by ethnic armenians . under the agreement , 2,000  russian peacekeeping troops are being deployed to the region.since the early 1990s , ethnic armenians had held military control over all of nagorno-karabakh and substantial swaths of azeri territory surrounding it . they have now lost much of the enclave itself as well as the surrounding territory.opposition leader arrestedseventeen political parties"
"20200903110000_tra_A0001695","and livestock - by 3.5 % . according to the message , the costs of material and technical the resources of industrial origin used in agricultural production , in seven months of this year decreased by 11.3 % . thats the preceding data of the state statistics department , in  ukraine in 2019 decreased by 0.6 % . recovering the latest news of ukraine and the world on the unian channel in ukraine . author :"
"20221107141500_tra_A0002474","will we go to war against russia if we send weapons to  ukraine ?"
"20230126151500_eng_A0001346","the us more vulnerable ‘ if we have to fight a war against china ’ jd vance won ohios open senate seat in november after a tight racehes skeptical of the billions of taxpayer dollars sent to the war-ravaged nationpresident biden announced a shipment of abrams tanks en route to  ukraineby published : 14:51 gmt , 26 january 2023 | updated : 16:40 gmt , 26 january 2023 republican ohio sen. claimed on thursday that sending u.s. military aid to ukraine was making our country more vulnerable against a possible war with .the freshman conservative lawmaker has been critical of the"
"20220110061500_tra_A0000217",", , 08:57 - regnum meeting with the deputy prime minister on european and euro-atlantic integration of  ukraine olga stephanishina will hold on january 10 in brussels secretary general nato jens stoltenberg . this is january 10 reports the press service of the alliance . jens stoltenberg magnus fröderberg vice prime minister stefanishin will take part in a meeting of the nato-ukraine commission , which will be chaired"
"20230727160000_tra_A0003193","further damaged , in the latest attack after moscows withdrawal from the grain export agreement , governor i reported on thursday odessa , oleh kiper . in this attack were used rockets with a seaside , calibr self-direction , which were released by the black sea , he said .  ukraines air force said thursday that they had destroyed 36 rockets released by russian tu-95ms strategic bombers ."
"20230103070000_tra_A0000970","the security service of ukraine ( sbu ) has launched the governor of the central bank of russia elvira nabiluin . here , they are evidence that nabilin has participated in the financing of the  russian army and the military-industrial complex , the sputnik has passed . it was it to organize the introduction of ruble in the regions in the south and east of ukraine , the sbu report is stated . ( tanjug )"
"20230406204500_tra_A0002226","president .. - 2023. in november and december , 387 euros will be the average pensions . 2024. we will reach between 424 and 434. at the end of 2025. we come to the least , and i hope that if it happens to the end of the war in  ukraine , there will be terrible growth - 450 euros . - at the end of 2023 , the average salary in serbia will be 840 euros . 2024. the average salary in serbia will be 930 euros . at the end of 2025 , we go to 1,124 euros in"
"20221215163000_tra_A0002077","ukrainian civilians to extreme difficulties during the winter months . my deepest desire is to put an end to this meaningless war , turk said . today , russian foreign ministry spokeswoman maria zakharova told reporters that the us plan to approve the sending of patriot missile defense systems in  ukraine is a provocation . zakharova said the united states should draw real conclusions from russian warnings that us -delivered equipment is a legitimate target for russian attacks . us authorities said on tuesday that they should approve sending a patriot rocket battery in ukraine , the most advanced earth-air missile"
"20180515103000_tra_A0001304","considered a serious , concentrated type without extravagance . it suits his announcement that there will be five media-free days in russia , where the selecao is not available to the public . in view of the hungry brazilian media , which will be back with a large bid in  russia , this is a bold step . but the team will thank him . solid defense , faster storm his lineup , so tite has always made clear , sequel only to the needs of the team . names did not matter . in contrast to felipe scolari and dunga"
"20220428110000_tra_A0000714","its economic power to prevent the repetition of such aggression in the future , including increasing the allocations for defense and use all the existing economic levers to displace russia from the western markets . she also emphasized that the west should help increase the defense capabilities of not only  ukraine , but also other countries that military aggression from russia , such as moldova and georgia , can threaten . in her performance , the tracks once again warned of the need to deprive president of putin the opportunity to declare his victory in ukraine and use this war as"
"20210605114500_tra_A0000422","ssn591 well , well , let biden try to call putin to answer if he dreamed ! he and his son can not call anyone to answer ! and here putin ! old69gto well , what , the older-general of kene is desalted : 1. hackers , of course ,  russians . 2. putin either supports them or controls . something has no convincing evidence that these statements are related to reality ! bankprav is directly like a drum fraction : kin , kin , kin . and what are our military strategists made the last 70 years , permissible for"
"20230605201500_eng_A0002064","washington —  ukraine will be a major topic of discussion when president joe biden meets denmarks prime minister mette frederiksen at the white house monday afternoon.specifically , the two world leaders most likely will discuss ukraines access to f-16 fighter jets and the training needed for them.ukrainian president volodymyr zelensky has cited the"
"20230427214500_eng_A0001545","both the leadership of italy and the holy see to help ukraine continue the grain corridors work without restrictions , ” shmyhal said . the prime minister participated wednesday in a rome conference hosted by the italian government to bring together businesses eager to participate in eventual reconstruction projects in  ukraine ."
"20220414214500_tra_A0000952","kremlin leader has discovered his passion for beer after a visit to germany . the people around the president also say that he had the habit of emptying the bottles full in flower pots , suitable . it should be noted that the opposite pole was the first president of  russia , boris eltîn . this was a great vodka consumer . putin is very strict and in terms of nutrition is also very strict and in terms of . people around the president have been revealed in the past that it consumes cheese cows with omelette eggs of quail or"
"20220824024500_tra_A0001236","august . the interrupting of supply chains and escalating prices is blowing strong economic growth . europe witnessed weak economic activity in the second month in a row . the reason is that the price of energy increases due to instability around the supply of energy from russia . the  russian side has just announced the stop supply of gas through the main pipeline nord stream 1 to europe within 3 days . photo : reuters . pmi continued to plummeted here , russian gazprom gas gas company announced the stop supply of gas through the main pipeline nord stream 1"
"20220330191500_tra_A0001241","by china will hold , pakistan , iran , russia , tajikistan , turkmenistan , uzbekistan and other six foreign ministers or representatives attended the meeting . during the president of afghanistan , the afghan neighboring countries + afghan will also convene a dialogue , as well as the sino-us  russian + consultation mechanism of afghanistan , both of which are not in the previous neighboring foreign ministers . the foreign ministers of afghanistan will convene the first meeting in september last year and officially launched the coordination mechanism of afghan neighboring countries . at that time , the us and"
"20190628093000_tra_A0000731","of the constitution . almost half of the population ( 47 % ) did not read her text at all , and about a third ( 32 % ) read only its separate divisions . only 11 % of the population are familiar with all sections . half of the  ukrainians did it in order to know their rights , the authors of the survey were noted . the same time 67 % of respondents are convinced that the constitution needs to be changed . a third of them believe that this should be done immediately , another third is confident"
"20230815134500_eng_A0001032","of over 600,000 on the caspian sea , is , a russian republic that borders chechnya.the blast was heard shortly before 10:00pm ( 1900 gmt ) on monday , according to sergei melikov , head of the dagestan administration. ‘ everything fell on our heads ’ a witness quoted by  russian daily newspaper izvestia said that the fire began in an area where cars were parked and then spread to the petrol station. “ after the explosion , everything fell on our heads . we couldn ’ t see anything any more , ” said the witness , who was not"
"20221201223000_tra_A0000920","the french journalist and the philosopher of michel elcanin spoke tonight in the tribune of vladimir  putin  as well as philosophies in which the russian president is based on 22 years , and on that occasion he assessed that the war in ukraine would still long last .french philosopher who published a book in chambers head , he did not say that it was not a part"
"20220303204500_eng_A0000697","ukraine . ukraine since last week has been under attack by russia with several bombings in some parts of the country leaving so many people dead . in a press release from cmd , its chairman comrade leslie mensah tamakloe has noted that the 14 ghanaian students already evacuated from  ukraine are not adequate . he has hence called on the government to push until all ghanaian students in the troubled country are safely brought back home . “ comrade leslie mensah tamakloe , an it specialist , an industrialist , and chairman of cmd expressed the concern , that the"
"20220831213000_tra_A0000867","sound like chinese , since the former bulgarian salaries and working conditions are back ? the other four -day or four -day time with special agreements and with return , via atms , gifts and allowances ? is there a change in this regularity that the pandemic or war in  ukraine has spoiled us ? the further regularity of the black labor market with the paychecks in the pocket ... ( so as not to spoil the work subsidies soup and workers benefits ) ? this regularity ... closes 12 years in greece . but , at the same time ,"
"20221222131500_tra_A0001327","the conference of ambassadors to the farnesina . above all the gas - continued the ambassador - is an important resource with 15 trillion cubic meters of reserves that places turkmenistan in 4-5 placed in the world , a wealth that amounts to just under half of that of the  russian federation . at the moment 80 % of this gas is conveyed in china - added ferrari - our commitment is to make sure that this resource can flow , through the caspian and then turkey , and be available for southern europe . ( handle ) . reserved reproduction"
"20220828113000_tra_A0000962","which is important to develop and overcome , the ministry told bns . this time , however , the ministry says it is difficult to find funding for new projects due to the need to allocate funds for the maintenance of lithuanian railways . “ the current geopolitical situation and  russian hostilities in ukraine have a major impact on lithuanian railways . due to the situation this year , the state had to allocate a considerable amount of budget funds to maintain public rail infrastructure , maintenance and safety , the company itself had to reduce its planned investment by 43"
"20221221163000_tra_A0002083","president vladimir putin says his belief is that russia is not responsible for the  ukraine war , but both countries are the victims of misfortune . russia still considers ukraine to be a fraternal country . he said this in a meeting with senior officials of the army on wednesday . putin claims that the conflict with ukraine is the result of the policy of"
"20191213011500_tra_A0001987","are enforcing all good growth , showing that we have actively exploited effectively the signed ftas . applications such as exporting to japan the first 11 months increased by 7.6 % ; exports to korea increased by 10.1 % ; exports to asean increased by 2.5 % ; export to  russia increased by 9.1 % ; export to niudilan increased by 6.8 % over the same period ... , deputy minister do thang hai stressed . especially export turnover to markets is a member of a cptpp to achieve a good increase , which initiates the efficiency of commitments from this"
"20230622160000_tra_A0002824","se nnegc energoatom submitted proposals to the state inspectorate of nuclear regulation of  ukraine ( diara ) on changing the conditions of the license of the reactorial installations of the temporarily occupied zaporizhzhia npp . according to ukrinform , it reports . “ we propose to limit the operation of the units of the cold stop and stop for repair . we can not"
"20220224080000_tra_A0001528","ago and in november , there are record breakers . some of these may have not yet reached their record levels . in the third and smaller group , apple , cisco and google have companies on long-term upward trends . this means that the investors should be cautious when  ukraine is eliminated by the risk of ukraine . the risk of the risk of ukraine can bring a decline under the possibility of disappearing or cause short-term relief for risky assets . however , this situation may not make a remarkable meaning in this period in which the us central"
"20230214181500_tra_A0000462","matvey shparo , polar traveler of the black heaven was extended in seven cities of  russia . this is a special period when , due to adverse weather conditions , the lack of wind , pollutants in the air accumulate especially actively , which is incredibly dangerous to health . and the main pollutants of cities are the objects of energy and industry . the increase"
"20190729190000_tra_A0001345","in crimea for the period of annexation , at least 522 illegal decisions on maintenance in the framework of politically motivated criminal prosecution of  ukrainian citizens this is reported by the crimean human rights group , reports with reference to . the largest number of decisions was made in the kyiv district court of simferopol - 224 and the supreme court of crimea - 138. the largest number of decisions on detention was carried out"
"20220429111500_tra_A0002357","is high time to stop talking about putin as a normal thinking person . journalist and author liza aleksandrova-zorina described him apt and genuine in this newspaper earlier : advertisement “ putins language is not a language of bureaucracy . not the language of a sluggish politician . no .  putin  speaks the same language as russian street criminals . thus , those who threaten a knife in a dark dead end and rob you on all your money or pull off your earrings from your earlobes . his speech is a mixture of prison hose , obscene words , vulgar"
"20220715174500_tra_A0000623","the market and shops , the shock wave was damaged by the windows of the adjacent p about -storey building . the shock wave was damaged by the windows of the adjacent five -storey building / photo t.me/en_national_policiers provided the first domedic aid and gathered the evidence base of the  russian military crime . code of ukraine . photo t.me/en_national_police in the office of the prosecutor general , as a result of shelling by the occupiers with hurricane bakhmut , mine-explosive injuries and shrapnel wounds were given to 6 civilians . -6 civilians were injured and fraudulent injuries . in addition"
"20230522160000_tra_A0001289","russia will help uzbekistan in the fight against terrorists photo : sergey savostyanov/tass  russia will help uzbekistan in the event of a surge of isis activity ( terrorist organization prohibited in the russian federation ) on the border with afghanistan . this is due to the onset of summer , when moving along mountain paths for terrorists is easier . in addition , after"
"20220810124500_tra_A0001851","on the 9th and 10th of august impairing infrastructure , but without victims . the mayor of kharkiv ihor terehov said at least four explosions were heard during the night , including one near a building that has nothing to do with military infrastructure . the general staff of the  ukrainian army announced on the late 9th of august that russians continue to attack different parts of the stockometer front in eastern ukraine , from the periphery of the north to donetsk . from the generatabba , the russian tactical offensive in jakovlevka , bahmut and zajceva stated that ukrainian defenders"
"20220915110000_tra_A0000481",", , 13:39 - regnum iranian president ibrahim raisi thanked  russia for supporting tehran ’ s membership in the shanghai cooperation organization ( sco ) . iranian president ibrahim raisisi hossein razaqnejad “ is grateful to you for supporting iran ’ s membership in the shanghai cooperation organization , ” raisi said at a meeting with russian president vladimir putin in"
